feature,importance
total_temporal_lobe_volume_mm3,0.12346298
middle_temporal_bilateral_volume_mm3,0.108581886
MMSE,0.09283543
ventricle_bilateral_to_etiv,0.09186401
gm_vol_mm3,0.07490453
Age,0.0359855
entorhinal_left_csf_voxels,0.03307429
M/F,0.025117533
wm_vol_mm3,0.022369238
entorhinal_right_volume_mm3,0.0214859
entorhinal_bilateral_volume_mm3,0.019804455
SES,0.017927181
hippocampus_left_csf_voxels,0.016054232
ventricle_left_wm_voxels,0.014929682
ventricle_left_gm_voxels,0.014221919
hippocampus_left_volume_mm3,0.013885705
ventricle_right_to_etiv,0.012350603
Educ,0.011841804
hippocampus_left_wm_voxels,0.011791706
hippocampus_asymmetry_index,0.010810719
ventricle_asymmetry_index,0.010260148
wm_to_etiv,0.01024263
inferior_temporal_left_volume_mm3,0.010188487
ventricle_left_to_etiv,0.010096057
entorhinal_right_wm_voxels,0.010067689
hippocampus_right_volume_mm3,0.009668891
hippocampus_right_csf_voxels,0.009185633
entorhinal_left_volume_mm3,0.008924574
inferior_temporal_right_wm_voxels,0.008849811
brain_parenchyma_to_etiv,0.008520742
ventricle_bilateral_volume_mm3,0.007936599
inferior_temporal_left_wm_voxels,0.0076217065
middle_temporal_right_csf_voxels,0.0075782654
inferior_temporal_right_volume_mm3,0.0075676837
gm_wm_ratio,0.0071372828
middle_temporal_right_wm_voxels,0.007042935
inferior_temporal_left_csf_voxels,0.0063178437
inferior_temporal_bilateral_volume_mm3,0.006062512
hippocampus_right_wm_voxels,0.0058571477
hippocampus_to_temporal_ratio,0.0056487042
middle_temporal_asymmetry_index,0.005542845
csf_to_etiv,0.00527521
middle_temporal_right_volume_mm3,0.0051637534
entorhinal_bilateral_to_etiv,0.0051393067
brain_parenchyma_frac,0.005050294
ventricle_left_volume_mm3,0.00474722
middle_temporal_left_volume_mm3,0.0041601686
gm_to_etiv,0.0041397554
entorhinal_right_csf_voxels,0.0033003862
entorhinal_left_wm_voxels,0.0032553151
middle_temporal_left_csf_voxels,0.0029025387
inferior_temporal_asymmetry_index,0.0028675783
eTIV,0.0028339075
ventricle_right_gm_voxels,0.0024979857
entorhinal_asymmetry_index,0.002130736
inferior_temporal_right_csf_voxels,0.0017877999
middle_temporal_left_wm_voxels,0.0011305467
middle_temporal_laterality_ratio,0.0
hippocampus_right_to_etiv,0.0
hippocampus_left_to_etiv,0.0
hippocampus_bilateral_to_etiv,0.0
nWBV,0.0
csf_vol_mm3,0.0
csf_to_brain_ratio,0.0
wm_frac,0.0
gm_frac,0.0
csf_frac,0.0
ASF,0.0
hippocampus_left_gm_voxels,0.0
hippocampus_left_tissue_fraction,0.0
inferior_temporal_right_tissue_fraction,0.0
middle_temporal_right_gm_voxels,0.0
middle_temporal_right_tissue_fraction,0.0
inferior_temporal_left_gm_voxels,0.0
inferior_temporal_left_tissue_fraction,0.0
inferior_temporal_right_gm_voxels,0.0
entorhinal_laterality_ratio,0.0
entorhinal_right_gm_voxels,0.0
entorhinal_right_tissue_fraction,0.0
entorhinal_left_gm_voxels,0.0
entorhinal_left_tissue_fraction,0.0
inferior_temporal_laterality_ratio,0.0
ventricle_laterality_ratio,0.0
ventricle_right_csf_voxels,0.0
ventricle_right_wm_voxels,0.0
ventricle_right_tissue_fraction,0.0
ventricle_right_volume_mm3,0.0
ventricle_left_csf_voxels,0.0
middle_temporal_left_tissue_fraction,0.0
middle_temporal_left_gm_voxels,0.0
ventricle_left_tissue_fraction,0.0
hippocampus_bilateral_volume_mm3,0.0
hippocampus_right_gm_voxels,0.0
hippocampus_right_tissue_fraction,0.0
hippocampus_laterality_ratio,0.0
